"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 11:30-14:00,17:00-23:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"10:00-17:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Sa 11:00-21:30"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 07:00-02:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 06:00-22:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"11:00-15:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Fr 10:00-14:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"http://www.krems.gv.at/system/web/kalender.aspx?bezirkonr=0&menuonr=218454476&typid=120875890&detailonr=120875890"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 10:00-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 17:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Tu-Su 11:30-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"10:00-18:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 11:00-24:00; Fr,Sa 11:00-06:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 08:00-18:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 11:00-24:00; Su 11:00-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 08:30-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 11:00-22:00; Su 12:00-21:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 10:30-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 10:00-22:00; Su 12:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Fr 07:30-16:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"10:30-21:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 13:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"17:00-21:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 13:00-24:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Tu-Su 11:30-14:30, 17:30-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Fr 10:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Tu-Su 18:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Sa 09:00-22:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"06:00-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Su-Th 10:00-01:00; Fr-Sa 10:00-02:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"08:00-18:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 06:00-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Tu-Su 10:00-23:00"
10	0.000019265632616	0.000208428863229	0.00027267273818	"Mo-Su 09:00-20:00"
