http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
270267	1	"http://linkedgeodata.org/ontology/version"
203401	0.752592806372957	"http://linkedgeodata.org/ontology/gadmSameAs"
73630	0.272434296454987	"http://linkedgeodata.org/ontology/operator"
72645	0.268789752356004	"http://linkedgeodata.org/ontology/brand"
40687	0.150543721579031	"http://linkedgeodata.org/ontology/fuel:diesel"
39207	0.145067655318629	"http://linkedgeodata.org/ontology/source"
35170	0.130130574579952	"http://linkedgeodata.org/ontology/addr%3Astreet"
34028	0.125905123451994	"http://linkedgeodata.org/ontology/fuel:octane_95"
26988	0.09985680826738	"http://linkedgeodata.org/ontology/addr%3Acity"
26882	0.099464603521703	"http://linkedgeodata.org/ontology/opening_hours"
23819	0.088131366389533	"http://linkedgeodata.org/ontology/addr%3Ahousenumber"
20554	0.076050720213715	"http://linkedgeodata.org/ontology/fuel:octane_98"
15900	0.058830711851613	"http://linkedgeodata.org/ontology/fuel:lpg"
11054	0.040900294893568	"http://linkedgeodata.org/ontology/addr%3Acountry"
7809	0.02889364961316	"http://linkedgeodata.org/ontology/fuel:octane_91"
